id,owner_id,book_id,content,created_at,updated_at,is_active
14,7,2,"О, да!! Это было великолепно. Одно меня волнует.. КОГДА ПРОДОЛЖЕНИЕ?? Дочитал книгу пять минут назад и уже хочу знать как, кто, почему и что это вообще за место такое.?Дем,пишите,умоляю!!",2019-10-30,,true
15,8,2,"Ну это просто супер. Читаю после перекрестка, опять свежо и ново, незаезженный сюжет, невероятно динамично, читается запоем. Буду постоянно следить за новинками теперь.",2019-10-28,,true
16,1,3,"Понравилось. Это одна из тех книг, которую хочется жадно дочитать до конца. Хорошо, что книга разбита на отдельные истории, иначе пришлось бы читать сутки напролет. Не до сна, пока не узнаешь, чем все закончилось. Жду продолжения.",2022-09-09,,true
17,2,3,"Дорогой Автор! Огромное, преогромное спасибо за ваше творчество! Море удовольствия от книги! Я читатель с большим стажем, прочитанно много фантастики, фентези, детективов и мистики. К сожалению, современная тенденция историй и авторов склонна к угасанию, несмотря на обилие обложек на полках. Истории и герои безликие, много раз копированные друг у друга. Скучно и не интересно. Вы же удивили! Радуюсь, как ребенок! Интересный сюжет, неожиданные повороты, неординарная личность героя и стиль изложения. Столько положительных эмоций и позабытое ощущение предвкушения ""...а что же дальше?"". Успехов Вам!",2024-02-17,,true
18,4,3,"Отличная книга для того, что бы отвлечься от дел насущных. Читается запоем. Таинственный главный герой, большое количество колоритных персонажей, интересный мир, и интригующие истории! Каждый рассказ написан в своем жанре, что является особой изюминкой текста, на мой взгляд. Тут можно и посмеяться, и поплакать, и задуматься о важном, и просто хорошо провести время. Каждый найдет главу на свой вкус. А все вместе они составляют отличную книгу, которую хочется перечитывать.",2022-03-21,,true
19,5,3,"Однознакчно великолепная книга! Напомнила мне Дневники Ийона Тихого – тоже короткие истории, тоже много гротескного юмора. Прекрасный язык, увлекательные загадки, прикольные детали далекого будущего. Очень всем рекомендую. Лучшее, что я читала за долгое время.",2023-05-28,,true
20,6,3,"Как перестать читать? Как перестать ждать продолжения? На эти вопросы книга ответа не даёт. Зато показывает, что такое современная увлекательная фантастика. Перед началом чтения обязательно завершите все прочие дела и запаситесь едой и напитками! Потому что телепорт на пару суток вперёд гарантирован)",2022-03-21,,true
21,7,3,"Отличный комический детектив с юмором и, если присмотреться, с интересными, неожиданными аллюзиями и глубоким смыслом. Прекрасный литературный язык, крутые диалоги. Отдельно понравилась литературная игра в жанры: каждая глава написана в своём: от классического детектива до русской народной сказки. Очень рекомендую! Большое событие в российской фантастике!",2022-03-21,,true
22,8,3,"Ну наконец-то что стоящее из нового отечественного! Прочитал с удовольствием! Прочитал после положительного отзыва ( поста в контакте) Сергея Лукьяненко. Даже Мастер отметил книжку. Буду следить за творчеством автора.",2022-08-18,,true
23,3,4,"Начинал читать книгу без особого энтузиазма и первые несколько историй меня не очень впечатлили, но ближе к концу первой книги как-то проникся и следующие две части прочитал почти залпом. Еще до прочтения меня немного смутила схожесть с Ведьмаком – это тип повествования, профессия главного героя и его подруга-ведьма, которая носит два цвета. На этом схожести заканчиваются и прочитав половину первой книги я вообще забыл об этом. Поначалу трудно понять, как обстоят дела в этом мире, и кто с кем в каких отношениях. Частично спасает справка. Иногда мелкие диалоги героев выглядят нелогично или слишком явно рассказывают читателю, что происходит в стиле «Напомни, почему мы это делаем». Из плюсов то, что Пехов уделяет внимание деталям. Герои едят, спят, мерзнут в холод и мокнут под дождем. Автор не боится экспериментировать и порой в книге появляются такие умопомрачительные эпизоды как шабаш ведьм и темнолесье. Отлично преподнесены сами стражи, у каждого яркий характер, хотя ничем особенным они не отличаются и главное – все стоят друг за друга горой. Отдельного внимания заслуживают вечные спутники главного героя. В общем, довольно добрая, немного кровавая, немного наивная, зато интересная книга. Советую к прочтению.",2015-03-14,,true
24,4,4,"Книга хорошая. Как всегда у Пехова тщательно продуманный мир, в который веришь. Население разных стран имеет разный менталитет, который чётко просматривается. Цепляет. Написано в хорошем пеховском стиле. Сравнение с Ведьмаком было бы явно некорректным. Это как говорить что в научной фантастике автор опять пишет про космические корабли или про космические империи, что уже было не раз.",2011-09-23,,true
25,5,4,"Моя самая любимая серия у Пехова. Погружается в этот мир и не можешь вынырнуть из него пока не прочитаешь до конца) Перечитывала уже не раз! И с каждым прочтением серия становится все лучше. Советую всем!",2017-08-14,,true
26,6,4,"Ждал выхода этой книги и ожидание оправдалось на все 100%. Рекомендую всем люителям качественного добротного фентези. Яркий продуманный в деталях мир, интересные и «живые» чтоли персонажи, сюжет – невозможно оторваться. В общем рекомендую…",2010-05-12,,true
27,7,4,"Не знаю, кто сравнивает эту сер с «Ведьмаком» – на мой взгляд это минимум некорректно: «Ведьмака» читал несколько лет назад и меня хватило на 2-3 тома. Скучно, шаблонно, неинтересно. Не захватывает. Со «Стражем» же я оторваться от книги не могу. Читаю сейчас третий том и ни капли не жалею. Единственная просьба к автору / набросать карту его мира (как это сделать Зыков в своём «Безымянном рабе» в начале книги). А то очень сложно представить все эти графства и королевства без наглядного пособия) книге несомненно твёрдая «пятёрка», буду ждать продолжения всех 4-х томов.",2018-01-03,,true
28,8,4,"Бомбовая книга.Читал ее с таким энтузиазмом,не советую ее читать если у вас есть курсовая или другая работа потому что она вас затянет так что вы оторваться от нее просто не сможете",2017-11-16,,true
29,2,5,"Ни лучше и ни хуже предыдущих. И это хорошо, так как вся серия мне нравится. Жалко только, что примерно с середины знаешь чем все закончится. Лично я угадал все до мелочей. Автор вообще свои произведения хеппи эндом редко заканчивает. Может поэтому мне и нравится.",2021-06-08,,true
30,4,5,"Господа, это третья книга в серии. Понравилось весьма. Особенно концовка. Интересны повороты сюжета, автор без сожаления расстается со второстепенными героями Необычный стиль у автора или вернее сказать направление . Мрачно, безвыходно, все умерли. Как в ужастиках. Хорошая серия « федерация»",2023-06-21,,true
31,5,5,"Тяжелая и мрачная книга о безысходности. Читал взапой. Просто хотел ее побыстрее уже закончить. Жалко всех. Но поставил 3 звезды за мрачность",2025-03-21,,true
32,6,5,"Идея выселить из страны людей, которые не хотят в ней жить и считают, что никому и ничем не обязаны очень привлекательна. Оказать в этом помощь, но обратно не принимать. Отличная книга.",2023-08-03,,true
33,7,5,"Необычное в наше время произведение, без супер-пупер героических героев, без магии, но с бластерами и большими пушками. Чистая фантастика. Главный герой цикла как ни странно — Земная Федерация, в которой живут люди со светлыми лицами, искренне переживающие, творящие, обеспеченные. Есть у Федерации один принцип — любой гражданин или колония может отказаться от гражданства Федерации, но назад не примут ни при каких условиях. Казалось бы, честное предложение, но есть и другая сторона. В каждой книге цикла показана именно она — тайное вмешательство Федерации в дела колоний, провокации, создание невыносимых условий, варварский грабёж ресурсов и всё это для восстановления тайного или явного контроля над отщепенцами, когда прогрессивная часть колонистов призовёт на помощь Федерацию и она придёт, правда если это будет выгодно. Книги цикла не связаны между собой, точнее, связаны упоминаниями о событиях, эти упоминания иногда полностью переворачивают восприятие событий других книг.",2023-07-22,,true
34,8,5,"Отличная книга. В целом Федерация - жто прекрасная серия. Неожиданно доя сеня, оказалось, что это великолеаная антиутопия. Мир высрких технологий, человечество покаряеи звезды, но есть нюансы. Очень неожиданные еюансы. С удовольствием рекомендую всб серию",2026-01-08,,true
